"Index","Qualification","Work Experience","Age","Monthly Salary"
"1","1","1.1","21","39343"
"2","1","1.3","21.5","46205"
"3","1","1.5","21.7","37731"
"4","1","2","22","43525"
"5","1","2.2","22.2","39891"
"6","1","2.9","23","56642"
"7","1","3","23","60150"
"8","1","3.2","23.3","54445"
"9","1","3.2","23.3","64445"
"10","1","3.7","23.6","57189"
"11","1","3.9","23.9","63218"
"12","1","4","24","55794"
"13","1","4","24.5","56957"
"14","1","4.1","24.5","57081"
"15","1","4.5","25","61111"
"16","1","4.9","25","67938"
"17","1","5.1","26","66029"
"18","2","1.5","21.7","75462"
"19","2","1.1","21","78686"
"20","1","5.3","27","83088"
"21","1","5.9","28","81363"
"22","2","2","22","87050"
"23","1","6","29","93940"
"24","1","6.8","30","91738"
"25","2","1.3","21.5","92410"
"26","1","7.1","30","98273"
"27","1","7.9","31","101302"
"28","1","8.2","32","113812"
"29","1","8.7","33","109431"
"30","2","3.2","23.3","108890"
"31","1","2.9","23","113284"
"32","1","9","34","105582"
"33","2","4","24","111588"
"34","1","9.5","35","116969"
"35","2","3.7","23.6","114378"
"36","1","9.6","36","112635"
"37","1","10.3","37","122391"
"38","2","3","23","120300"
"39","1","10.5","38","121872"
"40","2","3.2","23.3","128890"
